timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,target,target_team,target_latency_ms,target_steamid,target_steam_name,target_ip,target_is_bot,source,value,unit,hp_before,hp_after
00:17:23.033,2026-04-07 15:11:02.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1821,1816
00:17:23.366,2026-04-07 15:11:02.447,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1816,1780
00:17:23.500,2026-04-07 15:11:02.581,hit,neutral_alpha_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,15,damage,1154,1139
00:17:23.633,2026-04-07 15:11:02.714,hit,dragon_knight,RADIANT,,,,,,neutral_giant_wolf,,,,,,,dota_unknown,75,damage,530,455
00:17:23.666,2026-04-07 15:11:02.747,hit,goodguys_siege,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,50,damage,1780,1730
00:17:23.800,2026-04-07 15:11:02.881,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,5,damage,1143,1138
00:17:23.933,2026-04-07 15:11:03.014,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,16,damage,1139,1123
00:17:24.000,2026-04-07 15:11:03.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1730,1725
00:17:24.100,2026-04-07 15:11:03.181,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1725,1689
00:17:24.100,2026-04-07 15:11:03.181,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1689,1684
00:17:24.733,2026-04-07 15:11:03.814,hit,dragon_knight,RADIANT,,,,,,neutral_giant_wolf,,,,,,,dota_unknown,77,damage,456,379
00:17:24.800,2026-04-07 15:11:03.881,hit,neutral_alpha_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,23,damage,1131,1108
00:17:24.833,2026-04-07 15:11:03.914,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,37,damage,1684,1647
00:17:24.933,2026-04-07 15:11:04.014,kill,badguys_tower2_top,DIRE,40,,,,,creep_goodguys_ranged,RADIANT,,,,,,,,,,
00:17:25.000,2026-04-07 15:11:04.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1647,1642
00:17:25.100,2026-04-07 15:11:04.181,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1642,1637
00:17:25.366,2026-04-07 15:11:04.447,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,16,damage,1114,1098
00:17:25.500,2026-04-07 15:11:04.581,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,5,damage,1099,1094
00:17:25.600,2026-04-07 15:11:04.681,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,37,damage,1637,1600
00:17:25.800,2026-04-07 15:11:04.881,hit,dragon_knight,RADIANT,,,,,,neutral_giant_wolf,,,,,,,dota_unknown,80,damage,379,299
00:17:26.033,2026-04-07 15:11:05.114,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1600,1595
00:17:26.133,2026-04-07 15:11:05.214,hit,neutral_alpha_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,25,damage,1101,1076
00:17:26.300,2026-04-07 15:11:05.381,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1595,1559
00:17:26.300,2026-04-07 15:11:05.381,kill,creep_badguys_ranged,DIRE,40,,,,,creep_goodguys_ranged,RADIANT,,,,,,,,,,
00:17:26.666,2026-04-07 15:11:05.747,hit,goodguys_siege,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,59,damage,1559,1500
00:17:26.866,2026-04-07 15:11:05.947,hit,dragon_knight,RADIANT,,,,,,neutral_giant_wolf,,,,,,,dota_unknown,77,damage,300,223
00:17:26.866,2026-04-07 15:11:05.947,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,14,damage,1083,1069
00:17:27.000,2026-04-07 15:11:06.081,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,16,damage,1070,1054
00:17:27.000,2026-04-07 15:11:06.081,hit,creep_goodguys_ranged,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,5,damage,1500,1495
00:17:27.033,2026-04-07 15:11:06.114,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1495,1459
00:17:27.233,2026-04-07 15:11:06.314,kill,creep_goodguys_melee,RADIANT,,,,,,creep_badguys_ranged,DIRE,40,,,,,,,,,
00:17:27.366,2026-04-07 15:11:06.447,hit,neutral_alpha_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,50,damage,1058,1008
00:17:27.400,2026-04-07 15:11:06.481,kill,badguys_tower2_top,DIRE,40,,,,,creep_goodguys_ranged,RADIANT,,,,,,,,,,
00:17:27.766,2026-04-07 15:11:06.847,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1459,1423
00:17:27.933,2026-04-07 15:11:07.014,hit,dragon_knight,RADIANT,,,,,,neutral_giant_wolf,,,,,,,dota_unknown,31,damage,224,193
00:17:28.500,2026-04-07 15:11:07.581,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1423,1387
